factor_level,formal_replication_index,formal_structural_seed,step_index,wall_latency_ms
2,0,101,28,0.44996
10,0,101,29,0.122664
50,0,101,20,0.854541
50,0,101,24,0.444819
1,0,101,15,0.448183
20,0,101,14,0.440786
2,0,101,23,0.225153
1,0,101,1,0.526668
10,0,101,31,0.254439
5,0,101,19,0.208714
1,0,101,10,0.434248
10,0,101,23,0.236009
10,0,101,13,0.309332
1,0,101,7,0.449328
1,0,101,18,0.448705
5,0,101,20,0.44001
10,0,101,5,0.462978
50,0,101,23,0.223341
10,0,101,30,0.929023
10,0,101,8,0.469083
20,0,101,12,0.453309
20,0,101,1,0.546478
5,0,101,32,0.445689
10,0,101,9,0.806305
10,0,101,17,0.226362
5,0,101,18,0.446231
5,0,101,9,0.442444
2,0,101,18,0.4467
1,0,101,22,0.459351
5,0,101,16,0.446226
2,0,101,21,0.457531
10,0,101,32,0.439927
20,0,101,7,0.44293
50,0,101,5,0.43988
1,0,101,23,0.224925
2,0,101,25,0.675291
50,0,101,18,0.447219
1,0,101,16,0.874412
50,0,101,21,0.858521
20,0,101,17,0.227101
5,0,101,28,0.460754
50,0,101,11,0.44056
20,0,101,31,0.512376
5,0,101,13,0.621918
5,0,101,15,4.410769
1,0,101,4,0.450371
2,0,101,11,0.450127
50,0,101,6,0.473005
20,0,101,9,0.445134
2,0,101,12,0.451122
5,0,101,14,0.444495
2,0,101,3,0.469788
50,0,101,12,0.874646
5,0,101,8,0.435771
5,0,101,1,0.556214
50,0,101,22,0.442814
1,0,101,20,0.44519
20,0,101,11,0.451472
2,0,101,14,0.432775
1,0,101,26,0.459854
50,0,101,27,0.462548
50,0,101,3,0.456316
10,0,101,14,0.581287
50,0,101,1,0.948299
10,0,101,1,0.537547
5,0,101,29,0.118093
2,0,101,16,0.434473
2,0,101,20,0.849913
5,0,101,4,0.439038
2,0,101,30,0.451481
50,0,101,8,0.789969
1,0,101,3,0.967722
1,0,101,19,0.217942
20,0,101,20,0.440571
1,0,101,32,0.439003
1,0,101,17,0.429091
2,0,101,22,0.797598
20,0,101,30,0.466922
20,0,101,25,0.276624
1,0,101,21,0.514952
10,0,101,28,0.444442
10,0,101,3,0.450277
20,0,101,15,0.449007
50,0,101,17,0.242343
2,0,101,27,0.448957
1,0,101,28,0.443406
10,0,101,11,0.435682
1,0,101,31,0.249356
2,0,101,15,0.435511
5,0,101,10,0.428192
20,0,101,4,0.82304
50,0,101,2,0.482296
5,0,101,22,0.845533
2,0,101,13,0.309927
10,0,101,21,0.45784
1,0,101,9,0.426425
1,0,101,24,0.445159
20,0,101,3,0.471827
50,0,101,15,0.442759
5,0,101,5,0.443462
20,0,101,8,0.429532
5,0,101,31,0.252569
1,0,101,14,0.4287
2,0,101,2,0.479144
50,0,101,28,0.730629
10,0,101,12,0.431201
50,0,101,16,0.441643
10,0,101,19,0.205769
20,0,101,6,0.458203
5,0,101,17,0.463189
50,0,101,30,0.458187
2,0,101,32,0.440832
10,0,101,25,0.272613
50,0,101,10,0.429555
1,0,101,13,0.628077
2,0,101,19,0.413259
20,0,101,28,0.449705
5,0,101,24,0.690005
5,0,101,25,0.54632
10,0,101,7,0.546663
50,0,101,31,0.254225
1,0,101,30,0.815795
50,0,101,7,0.435478
10,0,101,18,0.44007
5,0,101,27,0.460563
2,0,101,10,0.444583
5,0,101,26,0.429137
2,0,101,24,0.490202
10,0,101,6,0.854543
20,0,101,32,0.430437
5,0,101,2,0.990855
20,0,101,29,0.119945
20,0,101,27,0.460517
20,0,101,21,0.455378
10,0,101,15,0.442367
