factor,factor_level,step_index,structural_seed_count,measurements_per_seed,observation_count,bootstrap_repetitions,bootstrap_seed,confidence_level,point_median_ms,median_ci_lower_ms,median_ci_upper_ms,median_relative_half_width,point_p95_ms,p95_ci_lower_ms,p95_ci_upper_ms,p95_relative_half_width,maximum_leave_one_seed_out_median_relative_change,maximum_leave_one_seed_out_p95_relative_change,median_precision_target,p95_precision_target,median_target_met,p95_target_met,all_cell_targets_met
objective_count,1,16,30,100,3000,10000,20272328,0.95,0.4364845,0.426081,0.443952,0.02047151731619339,0.8078713999999999,0.755754,0.85177335,0.059427372970499985,0.00329679518974906,0.015583111371438911,0.1,0.15,True,True,True
objective_count,1,17,30,100,3000,10000,20272428,0.95,0.4248815,0.410131675,0.44194900000000004,0.037442586933062585,0.7818840499999998,0.7209960724999982,0.8544576999999998,0.08534617600909086,0.005229693455704581,0.024887705536389762,0.1,0.15,True,True,True
objective_count,1,18,30,100,3000,10000,20272528,0.95,0.4166095,0.29657952500000007,0.437497,0.16912417383665032,0.7885826999999997,0.684843,0.8443185499999998,0.1011152983701011,0.006477288684007427,0.029528735540356635,0.1,0.15,False,True,False
objective_count,1,19,30,100,3000,10000,20272628,0.95,0.439941,0.42315,0.4500665,0.030591033797713732,0.8179986499999999,0.7633485999999999,0.883032,0.07315623320405243,0.0037095883311626383,0.022875160001792284,0.1,0.15,True,True,True
objective_count,1,20,30,100,3000,10000,20272728,0.95,0.475101,0.45485359999999997,0.4928790875,0.04001831978884491,0.8762970999999997,0.8222781999999997,0.956212,0.07642031452574718,0.004371702017044787,0.029537756087518904,0.1,0.15,True,True,True
objective_count,1,21,30,100,3000,10000,20272828,0.95,0.4293855,0.416009975,0.442339,0.030658959140446064,0.76018985,0.7193054999999984,0.80881,0.058869833634322834,0.003650565750357066,0.010753037547133781,0.1,0.15,True,True,True
objective_count,1,22,30,100,3000,10000,20272928,0.95,0.430071,0.4185964,0.442838,0.028183253462800366,0.7848554999999997,0.7410420612499998,0.8425311999999996,0.06465466493513762,0.004579476412034322,0.013139361321925933,0.1,0.15,True,True,True
objective_count,1,23,30,100,3000,10000,20273028,0.95,0.4263015,0.414667,0.44308708750000003,0.03333331867234812,0.7608103999999998,0.7211390499999997,0.825483,0.06857421375943358,0.0033098640281584643,0.017570409132156992,0.1,0.15,True,True,True
objective_count,1,24,30,100,3000,10000,20273128,0.95,0.4324985,0.41330685,0.4425661,0.03382583985840415,0.7840342499999997,0.7325105725000001,0.8429355499999993,0.07042101636503717,0.004578050559712881,0.014097981051210939,0.1,0.15,True,True,True
objective_count,1,25,30,100,3000,10000,20273228,0.95,0.4259965,0.41190329999999997,0.44083306250000004,0.033955399281449576,0.76437295,0.7136952999999999,0.822942,0.07146164709256131,0.004333368936129791,0.009203622394016068,0.1,0.15,True,True,True
