factor,factor_level,step_index,structural_seed_count,measurements_per_seed,observation_count,bootstrap_repetitions,bootstrap_seed,confidence_level,point_median_ms,median_ci_lower_ms,median_ci_upper_ms,median_relative_half_width,point_p95_ms,p95_ci_lower_ms,p95_ci_upper_ms,p95_relative_half_width,maximum_leave_one_seed_out_median_relative_change,maximum_leave_one_seed_out_p95_relative_change,median_precision_target,p95_precision_target,median_target_met,p95_target_met,all_cell_targets_met
objective_count,1,11,20,100,2000,10000,20271828,0.95,0.4354715,0.4177778375,0.4429204375,0.02886824970176,0.8056759,0.7412118,0.871563,0.08089555614112325,0.0038441092011762164,0.027130015928241175,0.1,0.15,True,True,True
objective_count,1,12,20,100,2000,10000,20271928,0.95,0.4182715,0.337372,0.44078718749999996,0.12362208218824369,0.8362708499999999,0.6860469999999997,0.89216222125,0.1232347278695654,0.01285648197402878,0.04973029969895514,0.1,0.15,False,True,False
objective_count,1,13,20,100,2000,10000,20272028,0.95,0.409507,0.315199,0.42739950000000004,0.13699460570881578,0.7368022999999999,0.6405109999999999,0.8232088499999998,0.12398023866103557,0.0040890631906169315,0.02460252906376636,0.1,0.15,False,True,False
objective_count,1,14,20,100,2000,10000,20272128,0.95,0.42976400000000003,0.41553745,0.437454,0.025498354911067507,0.81339025,0.7589414449999999,0.8527324,0.05765433935309651,0.004252333839037325,0.01779127546709582,0.1,0.15,True,True,True
objective_count,1,15,20,100,2000,10000,20272228,0.95,0.433195,0.411992,0.4432823875,0.0361158225510451,0.8118723499999999,0.703992,0.859969,0.09606005180494202,0.0067890903634621165,0.03181928784740593,0.1,0.15,True,True,True
objective_count,1,16,20,100,2000,10000,20272328,0.95,0.43413999999999997,0.41982600000000003,0.44163206250000003,0.025114090500760126,0.8061343499999999,0.744553975,0.854544,0.06822065391457392,0.005152715713824881,0.0214073497798476,0.1,0.15,True,True,True
objective_count,1,17,20,100,2000,10000,20272428,0.95,0.4228825,0.406226,0.440898,0.0409948389919186,0.7652971499999999,0.6924872762499997,0.8450210999999999,0.09965659989064389,0.005484975140848757,0.025754244609430356,0.1,0.15,True,True,True
objective_count,1,18,20,100,2000,10000,20272528,0.95,0.41726399999999997,0.2873382125,0.4382835,0.18087504253901604,0.7831646999999999,0.53423797375,0.849289,0.2011397004040146,0.00953712757390997,0.03402802756559369,0.1,0.15,False,False,False
objective_count,1,19,20,100,2000,10000,20272628,0.95,0.4377315,0.4197313125,0.4486925875,0.03308109537467604,0.79661935,0.7314780999999999,0.882391,0.09472083498850495,0.007334404766392195,0.03133579419078887,0.1,0.15,True,True,True
objective_count,1,20,20,100,2000,10000,20272728,0.95,0.4839625,0.460098,0.500228275,0.04146010796291034,0.9016238999999999,0.826655,0.975392,0.0824828401287943,0.009486272180179273,0.048612342685237356,0.1,0.15,True,True,True
objective_count,1,21,20,100,2000,10000,20272828,0.95,0.4309675,0.4154055,0.443095,0.03212481219581527,0.75345995,0.6631905499999998,0.826568,0.10841813821690201,0.006021335715570232,0.02315730252152084,0.1,0.15,True,True,True
objective_count,1,22,20,100,2000,10000,20272928,0.95,0.42374100000000003,0.3362178125000007,0.4388705,0.12112668764646244,0.7697234499999999,0.6706857999999998,0.849715,0.11629449512029304,0.004557028939847597,0.026557135553035145,0.1,0.15,False,True,False
objective_count,1,23,20,100,2000,10000,20273028,0.95,0.4209895,0.3596115375000002,0.442761025,0.09875482345759191,0.7328235,0.5254972862499994,0.822134,0.2023930139726692,0.005932451997021401,0.029245582326440023,0.1,0.15,True,False,False
objective_count,1,24,20,100,2000,10000,20273128,0.95,0.4333,0.408023,0.442265,0.03951303946457419,0.7905471999999999,0.6930393499999999,0.8532662999999999,0.10133926854715317,0.006419339949226845,0.03221755766132614,0.1,0.15,True,True,True
objective_count,1,25,20,100,2000,10000,20273228,0.95,0.4298315,0.4134324375,0.44522636250000003,0.036984172867740035,0.78624945,0.7320053,0.850924,0.07562402746354865,0.007543653734079474,0.021513274190525816,0.1,0.15,True,True,True
