factor,factor_level,step_index,structural_seed_count,measurements_per_seed,observation_count,bootstrap_repetitions,bootstrap_seed,confidence_level,point_median_ms,median_ci_lower_ms,median_ci_upper_ms,median_relative_half_width,point_p95_ms,p95_ci_lower_ms,p95_ci_upper_ms,p95_relative_half_width,maximum_leave_one_seed_out_median_relative_change,maximum_leave_one_seed_out_p95_relative_change,median_precision_target,p95_precision_target,median_target_met,p95_target_met,all_cell_targets_met
objective_count,1,11,10,100,1000,10000,20271828,0.95,0.4438025,0.43323335,0.4513639375,0.020426414339711877,0.8685737499999998,0.729149,0.892529,0.09405073547295206,0.0046405777344652,0.04753896833746118,0.1,0.15,True,True,True
objective_count,1,12,10,100,1000,10000,20271928,0.95,0.43495300000000003,0.245805,0.445407,0.22945237761321335,0.8696301,0.5497037499999999,0.90902255,0.2065928950711343,0.01685009644720241,0.04660768986722059,0.1,0.15,False,False,False
objective_count,1,13,10,100,1000,10000,20272028,0.95,0.30826149999999997,0.267503,0.447658,0.29221132058333593,0.6410902999999998,0.49308969999999985,0.701425,0.16248514444844991,0.014494187564778516,0.07690305094305726,0.1,0.15,False,False,False
objective_count,1,14,10,100,1000,10000,20272128,0.95,0.432009,0.39666655,0.440952,0.05125524005286928,0.8462843,0.7420553937500002,0.8814884499999999,0.08237955982995294,0.009963912788853783,0.012701110017047431,0.1,0.15,True,True,True
objective_count,1,15,10,100,1000,10000,20272228,0.95,0.4416685,0.277514,0.4513145,0.19675446630221538,0.8534995999999999,0.5254442899999999,0.8793727499999999,0.20733955821420422,0.007085630965305443,0.043583558797215934,0.1,0.15,False,False,False
objective_count,1,16,10,100,1000,10000,20272328,0.95,0.4426115,0.420802,0.449949,0.032926166626940305,0.85639585,0.744892,0.884868,0.08172388971758796,0.0038894154354326242,0.014236640684328382,0.1,0.15,True,True,True
objective_count,1,17,10,100,1000,10000,20272428,0.95,0.433347,0.341975,0.44734016249999997,0.12157135332654893,0.7950479499999997,0.5731061499999996,0.882912,0.1948346951903973,0.025168052392193753,0.09769637164651554,0.1,0.15,False,False,False
objective_count,1,18,10,100,1000,10000,20272528,0.95,0.430951,0.23616,0.444834,0.24210873161914,0.8112498999999999,0.4893567724999997,0.874972,0.23766734978950405,0.04647048040264427,0.14857487193527003,0.1,0.15,False,False,False
objective_count,1,19,10,100,1000,10000,20272628,0.95,0.44009699999999996,0.2849565,0.454873,0.19304437430839116,0.8281845499999995,0.582933,0.9273310499999998,0.20792349362228504,0.01597829569390368,0.08758893171817747,0.1,0.15,False,False,False
objective_count,1,20,10,100,1000,10000,20272728,0.95,0.485504,0.312003,0.5064549499999998,0.20025782485829147,0.9432733999999995,0.79182805,1.0095984999999992,0.1154333674627098,0.023137811428947965,0.09627092208897205,0.1,0.15,False,True,False
objective_count,1,21,10,100,1000,10000,20272828,0.95,0.44207450000000004,0.28638600000000003,0.46419699999999997,0.201109767697526,0.8133287499999999,0.5522364999999991,0.9284361499999999,0.23127157991156763,0.010899746535934686,0.07331094591209276,0.1,0.15,False,False,False
objective_count,1,22,10,100,1000,10000,20272928,0.95,0.4330485,0.286311,0.455936,0.19584988748373452,0.7889358,0.5853102925000009,0.884044,0.1893270070264267,0.019195309532304118,0.0740534274144994,0.1,0.15,False,False,False
objective_count,1,23,10,100,1000,10000,20273028,0.95,0.43106049999999996,0.239506,0.453369475,0.2480666576965415,0.7502462999999999,0.4777224999999997,0.892233,0.2762496129604374,0.02099009303798436,0.055507171444897856,0.1,0.15,False,False,False
objective_count,1,24,10,100,1000,10000,20273128,0.95,0.439695,0.25410299999999997,0.44576285,0.21794636054537808,0.8370007499999997,0.5011,0.8780589999999999,0.22518438603549643,0.007485870887774486,0.13455579340878757,0.1,0.15,False,False,False
objective_count,1,25,10,100,1000,10000,20273228,0.95,0.444825,0.4189115,0.453702,0.039105828134659695,0.84993125,0.7444652275000001,0.87982,0.0796268948223753,0.007803068622491995,0.029566803197317502,0.1,0.15,True,True,True
