query_hash,scenario_id
d5f369b87cb6675ffd55f92c2d1872ffeb2a7c720df97b89ce7efbfd64fea6a9,fm_a_sales_profit_month_beer_and_wine_ca
aa1bbf433f47a59e80f292e7fd2bb67f8c738302c6ef12d4ae2c8561737f1e01,fm_a_coverage_and_guard_mix_beer_and_wine_ca
aa1bbf433f47a59e80f292e7fd2bb67f8c738302c6ef12d4ae2c8561737f1e01,fm_a_sales_profit_month_beer_and_wine_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_category_state_profitability_beer_and_wine_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_category_state_profitability_canned_foods_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_category_state_profitability_dairy_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_category_state_profitability_frozen_foods_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_category_state_profitability_produce_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_category_state_profitability_snack_foods_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_coverage_and_guard_mix_beer_and_wine_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_coverage_and_guard_mix_canned_foods_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_coverage_and_guard_mix_dairy_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_coverage_and_guard_mix_frozen_foods_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_coverage_and_guard_mix_produce_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_coverage_and_guard_mix_snack_foods_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_sales_profit_month_beer_and_wine_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_sales_profit_month_canned_foods_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_sales_profit_month_dairy_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_sales_profit_month_frozen_foods_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_sales_profit_month_produce_ca
f97eb032b82885079b517462452af16a4fe24b80fdf4187372c9d7d0fe254fe8,fm_a_sales_profit_month_snack_foods_ca
d8efc07d24765aee4d1f5bcd6f4c23ac1420c2594b8c264d55ba824506a7ad01,fm_a_category_state_profitability_beer_and_wine_ca
d8efc07d24765aee4d1f5bcd6f4c23ac1420c2594b8c264d55ba824506a7ad01,fm_a_category_state_profitability_canned_foods_ca
